Algorithm,n,p,ii,Iopt,Iopt.approx,obj,obj.approx
MB_SDP,40,4,5,0.120479674,0.120332412,0.365020863,0.364292164
EXACT,40,4,5,0.133652378,0.129921328,0.45026238,0.425702057
LB_APPROX,40,4,5,0.12221969,0.121838606,0.365694329,0.364536765
CE,40,4,5,0.11700778,0.117007455,0.349637569,0.349636285
IP,40,4,5,0.116880214,0.116880204,0.349122744,0.349122721
RAND,40,4,5,0.123711327,0.123178683,0.371141529,0.369463391
MB_SDP,40,5,1,0.14522913,0.145041269,0.373697704,0.373240079
EXACT,40,5,1,0.165253629,0.158878601,0.412294057,0.382693089
LB_APPROX,40,5,1,0.14680493,0.146435002,0.376601389,0.375861401
CE,40,5,1,0.142138246,0.142125186,0.364085217,0.364080723
IP,40,5,1,0.141782,0.141776841,0.364226749,0.364214644
RAND,40,5,1,0.19100924,0.169493579,0.496782599,0.432552341
MB_SDP,40,5,2,0.1615958,0.158407489,0.448073718,0.433740023
EXACT,40,5,2,0.156101396,0.154787147,0.388333768,0.387406187
LB_APPROX,40,5,2,0.150260091,0.149873262,0.410835728,0.408156307
CE,40,5,2,0.145069344,0.145063369,0.379713327,0.379704479
IP,40,5,2,0.144794717,0.144793346,0.379127403,0.379126936
RAND,40,5,2,0.261217533,0.193337657,1.057077196,0.6062934
MB_SDP,40,5,3,0.182727474,0.181879892,0.563097334,0.561153327
EXACT,40,5,3,0.186791164,0.185364532,0.599467538,0.592015502
LB_APPROX,40,5,3,0.188647504,0.186474494,0.594765749,0.586155185
CE,40,5,3,0.173651456,0.173650559,0.538256089,0.538251311
IP,40,5,3,0.173545005,0.173544902,0.537734122,0.537733652
RAND,40,5,3,0.18789585,0.185527381,0.569213129,0.564652612
MB_SDP,40,5,4,0.15006326,0.147875562,0.339948753,0.33532132
EXACT,40,5,4,0.148361786,0.146379552,0.346244972,0.340509172
LB_APPROX,40,5,4,0.139041203,0.138978992,0.311486765,0.311431019
CE,40,5,4,0.137351991,0.137347395,0.310098986,0.310092326
IP,40,5,4,0.137101113,0.137098273,0.309478253,0.309476332
RAND,40,5,4,0.15288023,0.148454804,0.340228543,0.330415879
MB_SDP,40,5,5,0.146471772,0.145519598,0.334053135,0.329031856
EXACT,40,5,5,0.153501839,0.15054619,0.331407604,0.31667768
LB_APPROX,40,5,5,0.14568481,0.144160839,0.322380749,0.317640426
CE,40,5,5,0.137734751,0.137729817,0.298680253,0.298665745
IP,40,5,5,0.137478091,0.137477219,0.297640736,0.297640545
RAND,40,5,5,0.180382515,0.163800614,0.500472824,0.385953691
MB_SDP,50,3,1,0.062481448,0.062462135,0.16885651,0.168856327
EXACT,50,3,1,0.064101251,0.064000855,0.177275438,0.176833266
LB_APPROX,50,3,1,0.063197726,0.063144764,0.173013814,0.172866029
CE,50,3,1,0.061844176,0.061844174,0.168766837,0.168766828
IP,50,3,1,0.06183917,0.06183917,0.168736232,0.168736232
RAND,50,3,1,0.063624654,0.063532989,0.178344085,0.177786725
MB_SDP,50,3,2,0.066584874,0.066561531,0.185549077,0.185466315
EXACT,50,3,2,0.067627985,0.067488591,0.187512804,0.187162768
LB_APPROX,50,3,2,0.066784662,0.066733902,0.183732469,0.183676327
CE,50,3,2,0.065421065,0.065421064,0.18174386,0.181743855
IP,50,3,2,0.065414877,0.065414877,0.181721444,0.181721444
RAND,50,3,2,0.073855236,0.072668621,0.200555888,0.198402047
MB_SDP,50,3,3,0.076486939,0.076439233,0.284400771,0.284146096
EXACT,50,3,3,0.075194691,0.07518939,0.277032989,0.27702767
LB_APPROX,50,3,3,0.076785476,0.076710129,0.286160535,0.285763331
CE,50,3,3,0.074712283,0.074712281,0.276109523,0.276109519
IP,50,3,3,0.074709874,0.074709873,0.276105469,0.276105467
RAND,50,3,3,0.079717479,0.079074898,0.29868621,0.295602823
MB_SDP,50,3,4,0.06144438,0.061432247,0.158620454,0.158612641
EXACT,50,3,4,0.06426753,0.063986508,0.167891254,0.167271604
LB_APPROX,50,3,4,0.061671695,0.061651368,0.160571249,0.160530209
CE,50,3,4,0.060797277,0.060797275,0.158157282,0.158157275
IP,50,3,4,0.06079046,0.060790459,0.158133601,0.158133601
RAND,50,3,4,0.069616326,0.067619233,0.21077883,0.197262087
MB_SDP,50,3,5,0.077185742,0.077134718,0.247682195,0.247446006
EXACT,50,3,5,0.081386928,0.080710087,0.259275071,0.257476822
LB_APPROX,50,3,5,0.078707575,0.078516761,0.253880301,0.253079458
CE,50,3,5,0.075819951,0.07581995,0.241809169,0.241809169
IP,50,3,5,0.075819722,0.075819721,0.241811133,0.241811132
RAND,50,3,5,0.081581493,0.080590135,0.249257216,0.248177357
MB_SDP,50,4,1,0.08992875,0.089507698,0.203887677,0.202752762
EXACT,50,4,1,0.086806622,0.08668016,0.197510351,0.197023407
LB_APPROX,50,4,1,0.086268829,0.086214798,0.197510899,0.19723313
CE,50,4,1,0.084839101,0.08483887,0.190996484,0.190995846
IP,50,4,1,0.084811415,0.084811284,0.190825479,0.190825319
RAND,50,4,1,0.095145184,0.092639453,0.241317573,0.227678245
MB_SDP,50,4,2,0.087225385,0.087053945,0.198196527,0.197510674
EXACT,50,4,2,0.089967704,0.089391875,0.201678317,0.199002031
LB_APPROX,50,4,2,0.088064328,0.087778793,0.206112979,0.204341004
CE,50,4,2,0.084293643,0.08429339,0.187258221,0.187258061
IP,50,4,2,0.084269633,0.084269491,0.187191017,0.187190966
RAND,50,4,2,0.105860162,0.097109492,0.297322084,0.248612778
MB_SDP,50,4,3,0.102429722,0.101635436,0.314830269,0.310471106
EXACT,50,4,3,0.100388683,0.099609828,0.289372329,0.287728269
LB_APPROX,50,4,3,0.097443181,0.09734294,0.290243081,0.289728577
CE,50,4,3,0.095266623,0.095265899,0.279147131,0.279145792
IP,50,4,3,0.09521138,0.095210724,0.27887826,0.278877301
RAND,50,4,3,0.113512237,0.107155207,0.343624828,0.318284564
MB_SDP,50,4,4,0.087575412,0.087554875,0.217202998,0.217134162
EXACT,50,4,4,0.088637237,0.088554794,0.219451937,0.219202543
LB_APPROX,50,4,4,0.08699408,0.086989366,0.214008147,0.214004816
CE,50,4,4,0.086599701,0.086599643,0.213685503,0.213685487
IP,50,4,4,0.086563308,0.086563307,0.213690596,0.213690592
RAND,50,4,4,0.096317242,0.094617932,0.231675118,0.230150469
MB_SDP,50,4,5,0.08928538,0.089075241,0.27258613,0.271783644
EXACT,50,4,5,0.088824823,0.088624029,0.268223168,0.267702575
LB_APPROX,50,4,5,0.086044475,0.086042043,0.260408525,0.260403076
CE,50,4,5,0.085709921,0.085709823,0.25938351,0.259383339
IP,50,4,5,0.085655267,0.085655267,0.259243993,0.259243992
RAND,50,4,5,0.092216581,0.091324702,0.281365642,0.27795386
MB_SDP,50,5,1,0.117126832,0.116720178,0.300549928,0.300131192
EXACT,50,5,1,0.12850592,0.124200891,0.30364758,0.301452698
LB_APPROX,50,5,1,0.1169408,0.1165659,0.309870421,0.308309986
CE,50,5,1,0.112937866,0.112936461,0.294668915,0.294663718
IP,50,5,1,0.112839741,0.112839116,0.294103331,0.294102174
RAND,50,5,1,0.132576234,0.126082559,0.332571539,0.311179284
MB_SDP,50,5,2,0.11784578,0.117349619,0.258100702,0.257901692
EXACT,50,5,2,0.123071589,0.121167159,0.287021961,0.280683567
LB_APPROX,50,5,2,0.114216068,0.114132945,0.261616898,0.261314947
CE,50,5,2,0.112128921,0.112128213,0.254251403,0.254251053
IP,50,5,2,0.112103331,0.112102711,0.254423847,0.254422557
RAND,50,5,2,0.130262272,0.125521883,0.289304458,0.282600712
MB_SDP,50,5,3,0.12562513,0.123418721,0.299455404,0.294845252
EXACT,50,5,3,0.13741716,0.129671202,0.341067445,0.296185976
LB_APPROX,50,5,3,0.117002092,0.116695532,0.281147646,0.280829274
CE,50,5,3,0.113338271,0.113336893,0.274970524,0.274969013
IP,50,5,3,0.11319975,0.113199276,0.274569027,0.274568952
RAND,50,5,3,0.121212269,0.119600066,0.287485517,0.285205487
MB_SDP,50,5,4,0.113506302,0.113433928,0.267038908,0.267032329
EXACT,50,5,4,0.123636607,0.121338948,0.303640962,0.293144398
LB_APPROX,50,5,4,0.11592564,0.115482135,0.273566112,0.273196643
CE,50,5,4,0.111711829,0.11171127,0.266805282,0.266803856
IP,50,5,4,0.111576514,0.111576461,0.266435156,0.266434933
RAND,50,5,4,0.128060608,0.123850188,0.346487625,0.32237725
MB_SDP,50,5,5,0.127833749,0.127055444,0.344039984,0.341721602
EXACT,50,5,5,0.12224826,0.122102288,0.332723727,0.331955576
LB_APPROX,50,5,5,0.129410939,0.127326871,0.384669896,0.370209712
CE,50,5,5,0.119330582,0.119329095,0.319209634,0.319207233
IP,50,5,5,0.119273203,0.119272339,0.319126288,0.319124737
RAND,50,5,5,0.125354098,0.124683434,0.321974418,0.321916788
