"Algorithm","n","p","ii","Iopt","Iopt.approx","obj","obj.approx"
"CE",100,15,3,0.182144321858363,0.181904812225186,0.313042482636571,0.312774029954705
"IP",100,15,3,0.18376294628915,0.183335663849097,0.32041994765021,0.31947327974031
"RAND",100,15,3,0.223106626091661,0.205194387126622,0.425077249559266,0.360082321852567
"MB_SDP",100,15,4,0.206935811705036,0.198640654057231,0.372859626785101,0.344801859508149
"EXACT",100,15,4,0.201318503230487,0.194926492657817,0.31543958138914,0.301036938934052
"LB_APPROX",100,15,4,0.180913027237374,0.180616210641045,0.312575426979029,0.31162249952298
"CE",100,15,4,0.181288980704045,0.180979393714642,0.312125326852081,0.311526877033215
"IP",100,15,4,0.182469001458731,0.181964786704632,0.308091701541164,0.307637787823575
"RAND",100,15,4,0.209944562282747,0.201037241373712,0.357163675824076,0.342837337234469
"MB_SDP",100,15,5,0.203381744256531,0.195714362644677,0.315509321719326,0.299860950919653
"EXACT",100,15,5,0.189322650401795,0.186267688340955,0.294339922363908,0.276314958989612
"LB_APPROX",100,15,5,0.177391146489345,0.177206281417881,0.283298836048488,0.282917506295455
"CE",100,15,5,0.178553422587699,0.178256235313586,0.281898598845434,0.281584972767409
"IP",100,15,5,0.179211513060237,0.178862674376078,0.285950841094872,0.285181294156168
"RAND",100,15,5,0.210469828967573,0.199874332116751,0.353710637426649,0.326293920593478
"MB_SDP",100,20,1,0.306887399075842,0.28325875572157,0.604104484789623,0.540223757182871
"EXACT",100,20,1,0.288027281477026,0.272300189261912,0.470699204492379,0.444849231038596
"LB_APPROX",100,20,1,0.256031846670431,0.253787535404255,0.492575541842942,0.484252841025896
"CE",100,20,1,0.254553626880479,0.252669931632622,0.475487446585546,0.471563589943188
"IP",100,20,1,0.255805761798097,0.253590016939386,0.463125704445789,0.461371912876483
"RAND",100,20,1,0.30895402755693,0.281537209118995,0.585846276888369,0.507733622012031
"MB_SDP",100,20,2,0.324149620556008,0.300847174526216,0.674605314502844,0.616731745208685
"EXACT",100,20,2,0.2982404760475,0.287547448649853,0.5241078002257,0.518823357935735
"LB_APPROX",100,20,2,0.276226472675812,0.27354080221964,0.544731966106779,0.541117722814034
"CE",100,20,2,0.275178712743089,0.27254890994634,0.553660585510946,0.547939680497515
"IP",100,20,2,0.275609987283334,0.272894902766534,0.549372302722004,0.543805906704618
"RAND",100,20,2,0.341135455833091,0.303862656647771,0.941371050949602,0.675660838439775
"MB_SDP",100,20,3,0.309785678167871,0.29095560240981,0.687008507898852,0.642987069948001
"EXACT",100,20,3,0.308700881116294,0.289394100014973,0.594870278947135,0.566396107059491
"LB_APPROX",100,20,3,0.272272648345107,0.26975078495426,0.617613057695426,0.607508884814914
"CE",100,20,3,0.270004988780369,0.268203082983978,0.591069812014606,0.589120065093471
"IP",100,20,3,0.273844165776298,0.270598904266374,0.594224001972541,0.586965883683394
"RAND",100,20,3,0.385801228399335,0.311367065711781,0.901034948114642,0.650264815741631
"MB_SDP",100,20,4,0.34095858530799,0.30689637748312,0.756509792950056,0.594305777347774
"EXACT",100,20,4,0.3109796547818,0.291000997012796,0.5663801635203,0.504732575354299
"LB_APPROX",100,20,4,0.274826625555308,0.272420146616177,0.545012685821266,0.538469506958504
"CE",100,20,4,0.275426999080045,0.272769285802966,0.548580902336574,0.541006124924085
"IP",100,20,4,0.277250883720019,0.274089765922795,0.516526808036716,0.514407089304676
"RAND",100,20,4,0.331514667702342,0.303960301109974,0.663396980871219,0.575445992930697
"MB_SDP",100,20,5,0.335801878369013,0.300447831026066,0.691100694379478,0.625801974849981
"EXACT",100,20,5,0.319326542834463,0.291863565363346,0.604685597395286,0.534319153682503
"LB_APPROX",100,20,5,0.267625695273878,0.264751147910175,0.569567809445979,0.563934725166923
"CE",100,20,5,0.267178593674055,0.264409528471028,0.552297289449234,0.550372556376552
"IP",100,20,5,0.269682907663962,0.266654520893257,0.568961861608969,0.56393149437327
"RAND",100,20,5,0.349237803639778,0.30111164990722,0.946367913281334,0.686958569175064
