"Algorithm","n","p","ii","Iopt","Iopt.approx","obj","obj.approx"
"IP",150,15,1,0.117759772370624,0.117355477969096,0.186408117747168,0.186125063221043
"RAND",150,15,1,0.125311850838781,0.123268365628138,0.205640256505365,0.202318513738848
"MB_SDP",150,15,2,0.116328901091255,0.115488676240705,0.173993360226684,0.171035840937862
"EXACT",150,15,2,0.115711508798424,0.114931572443094,0.156655743630758,0.154841727186949
"LB_APPROX",150,15,2,0.110888719271444,0.110849706082904,0.15622812152069,0.156194223203312
"CE",150,15,2,0.110682734116171,0.110652137456361,0.156351787429856,0.156302173742789
"IP",150,15,2,0.112846210207041,0.112634204205551,0.158710246477495,0.158471789811795
"RAND",150,15,2,0.121849998402357,0.119266622710894,0.179861704217827,0.173821429842565
"MB_SDP",150,15,3,0.120418605364669,0.118968870425091,0.18355124623004,0.181112555306566
"EXACT",150,15,3,0.119950024976786,0.118569969411617,0.172352347940358,0.171320572821451
"LB_APPROX",150,15,3,0.112707367793126,0.112667578486167,0.173738246516903,0.173679532845867
"CE",150,15,3,0.112524375231171,0.112488602519773,0.172638292384976,0.172608125255343
"IP",150,15,3,0.114837922821109,0.114638836928966,0.180087748686778,0.179511216208157
"RAND",150,15,3,0.12574985052808,0.122801724403409,0.199791070133604,0.195188253750305
"MB_SDP",150,15,4,0.125434998465866,0.122649517305072,0.194331527614995,0.189242883648851
"EXACT",150,15,4,0.119337323215953,0.118149650683817,0.173312583674235,0.171607605072911
"LB_APPROX",150,15,4,0.113440903709519,0.113386311191654,0.174187901502695,0.174053547579594
"CE",150,15,4,0.113014332504785,0.112981962918933,0.17291084739862,0.172878647632685
"IP",150,15,4,0.115627891336658,0.115338597391274,0.177348949960405,0.176926595968411
"RAND",150,15,4,0.127438674642448,0.124232760605859,0.210138061754223,0.200234440521428
"MB_SDP",150,15,5,0.117157653349824,0.115835893196464,0.171379548488963,0.167578346231488
"EXACT",150,15,5,0.115157764283269,0.114426902725453,0.15310390820886,0.152998213855056
"LB_APPROX",150,15,5,0.110335138167823,0.1102802675074,0.154089774323295,0.15403321173104
"CE",150,15,5,0.110021212163456,0.109989573397869,0.153578696716398,0.153548777050755
"IP",150,15,5,0.112834239910423,0.112525696069843,0.15833708829776,0.157957813709316
"RAND",150,15,5,0.124906853636978,0.120551078224111,0.180606751850917,0.171322122306896
"MB_SDP",150,20,1,0.178143496198257,0.172997201788695,0.307131825237093,0.293611921302923
"EXACT",150,20,1,0.17034855084565,0.167037552429116,0.260819406007521,0.256953913865875
"LB_APPROX",150,20,1,0.158260827115016,0.158068422734979,0.260991985985207,0.260759151073749
"CE",150,20,1,0.159258196641789,0.158945244991484,0.260658368847738,0.260347993448182
"IP",150,20,1,0.165700350764357,0.164227915921426,0.281346077459584,0.276909853518292
"RAND",150,20,1,0.193676676118594,0.178626383308014,0.373640955377455,0.311875269436554
"MB_SDP",150,20,2,0.176283939870815,0.171395633990296,0.29836353425881,0.284138665614972
"EXACT",150,20,2,0.168861867849304,0.166184859427135,0.245981536789949,0.244101324144845
"LB_APPROX",150,20,2,0.157834952042013,0.157632566657828,0.245226477506578,0.245127201954868
"CE",150,20,2,0.158493713110468,0.158228312064152,0.247374597658521,0.247184833245261
"IP",150,20,2,0.165176024705818,0.163824717425665,0.256721318872373,0.255000520048866
"RAND",150,20,2,0.183186669260641,0.175113305797706,0.314005427805959,0.286462148247081
"MB_SDP",150,20,3,0.174705512381599,0.169473492372368,0.278995141069149,0.268812149432266
"EXACT",150,20,3,0.168765684146785,0.165067056437651,0.242178460259939,0.234045177841718
"LB_APPROX",150,20,3,0.155581491477229,0.155334698313223,0.237681512555088,0.237399598559102
"CE",150,20,3,0.155905903097,0.155655455717513,0.239593160104096,0.239283080221634
"IP",150,20,3,0.163908658675821,0.162013613011658,0.270221697359592,0.262256238571404
"RAND",150,20,3,0.177568912719877,0.170321416600261,0.295495882767051,0.269489562674019
"MB_SDP",150,20,4,0.175189798273694,0.169630344564446,0.297683576454321,0.283996414659108
"EXACT",150,20,4,0.167306195700869,0.164188325467216,0.253958199265674,0.249889252073794
"LB_APPROX",150,20,4,0.155773019088482,0.155621120151423,0.254167131457459,0.253969571883408
"CE",150,20,4,0.156873144341755,0.156537421997673,0.25810067792811,0.257280429030489
"IP",150,20,4,0.165623657986657,0.163453312927336,0.264730487798055,0.261375977323217
"RAND",150,20,4,0.173005488357396,0.168679425578713,0.276798307614894,0.270741019008034
"MB_SDP",150,20,5,0.182607136821994,0.176582475424594,0.351414112888997,0.32637138320235
"EXACT",150,20,5,0.175986967304023,0.17170881141478,0.275779904279431,0.27263309970478
"LB_APPROX",150,20,5,0.160974005439583,0.160790846257267,0.279807432147768,0.279421955736901
"CE",150,20,5,0.161760962103021,0.16146090081261,0.278893837077508,0.278404536837061
"IP",150,20,5,0.171678503556141,0.169114165578351,0.297097471886735,0.289489088229583
"RAND",150,20,5,0.181590302660325,0.175553293595545,0.311562573289622,0.294916203076575
